Route,Run,Sequence,Bus_Stop_Code
111,1,34,75807
111,1,35,49143
111,1,36,58076
111,1,37,72293
111,1,38,56126
111,1,39,51756
111,1,40,72863
111,1,41,50818
111,1,42,53125
111,1,43,53231
111,1,44,58843
111,1,45,72965
111,1,46,74327
111,1,47,77859
111,1,48,73964
111,1,49,56181
111,1,50,76829
111,1,51,73023
111,1,52,54828
111,1,53,57883
111,1,54,47634
111,1,55,50514
111,1,56,56705
111,1,57,74245
111,1,58,58828
111,1,59,50505
111,1,60,56004
111,1,61,77452
111,1,62,76293
111,1,63,47383
111,1,64,49186
111,2,1,57094
111,2,2,54728
111,2,3,75792
111,2,4,75954
111,2,5,59361
111,2,6,74804
111,2,7,53468
111,2,8,74770
111,2,9,75679
111,2,10,75096
111,2,11,71332
111,2,12,76571
111,2,13,47510
111,2,14,53192
111,2,15,57479
111,2,16,76986
111,2,17,71771
111,2,18,47858
111,2,19,75219
111,2,20,55260
111,2,21,48070
111,2,22,51304
111,2,23,57197
111,2,24,50600
111,2,25,58715
111,2,26,72274
111,2,27,54624
111,2,28,55476
111,2,29,53216
111,2,30,73357
111,2,31,56949
111,2,32,52678
111,2,33,74404
111,2,34,75181
111,2,35,74676
111,2,36,47431
111,2,37,52179
111,2,38,73899
111,2,39,49438
111,2,40,72235
111,2,41,57247
111,2,42,55240
111,2,43,52314
111,2,44,71944
111,2,45,51513
111,2,46,56144
111,2,47,53846
111,2,48,74272
111,2,49,48593
111,2,50,73781
111,2,51,72113
111,2,52,56327
111,2,53,75269
111,2,54,49773
111,2,55,59261
111,2,56,58197
111,2,57,76116
111,2,58,76444
111,2,59,54225
111,2,60,57925
111,2,61,47489
111,2,62,74072
111,2,63,57542
111,2,64,58452
112,1,1,53314
112,1,2,59530
112,1,3,56726
112,1,4,77470
112,1,5,77098
112,1,6,48852
112,1,7,57813
112,1,8,52165
112,1,9,53117
112,1,10,53627
112,1,11,73184
112,1,12,49709
112,1,13,50529
112,1,14,72529
112,1,15,49077
112,1,16,50806
112,1,17,75451
112,1,18,74183
112,1,19,74528
112,1,20,57862
112,1,21,56190
112,1,22,51328
112,1,23,73102
112,1,24,47519
112,1,25,50854
112,1,26,71189
112,2,1,71189
112,2,2,59535
112,2,3,51268
112,2,4,51571
112,2,5,53810
112,2,6,47497
112,2,7,58465
112,2,8,54817
112,2,9,76470
112,2,10,48818
112,2,11,74886
112,2,12,77121
112,2,13,72480
112,2,14,73618
112,2,15,74452
112,2,16,47409
112,2,17,72785
112,2,18,47676
112,2,19,57142
112,2,20,71578
112,2,21,58222
112,2,22,73747
112,2,23,77946
112,2,24,73084
112,2,25,75700
112,2,26,47328
112,2,27,53442
112,2,28,71884
